Delta,Type,value
1e-05,Original,0.613073686765509
0.01283025641025641,Original,0.8309684661906592
0.02565051282051282,Original,0.8902131920144016
0.03847076923076923,Original,0.9069914440016991
0.051291025641025646,Original,0.9426818908149437
0.06411128205128205,Original,0.949468031311313
0.07693153846153845,Original,0.953574101417909
0.08975179487179487,Original,0.9803191812132123
0.10257205128205128,Original,0.9857298893586035
0.1153923076923077,Original,0.9872671372802848
0.12821256410256412,Original,0.9901292501870993
0.14103282051282054,Original,0.9906703210016384
0.15385307692307693,Original,0.9918889945184975
0.16667333333333334,Original,0.9934262424401789
0.17949358974358975,Original,0.9943566819717228
0.19231384615384617,Original,0.9951101357228099
0.20513410256410258,Original,0.9953073484496046
0.217954358974359,Original,0.995883816420235
0.2307746153846154,Original,0.996242844717733
0.24359487179487183,Original,0.9964501709176966
0.25641512820512824,Original,0.9971024899370942
0.26923538461538465,Original,0.9973806104492404
0.28205564102564107,Original,0.9974969153906834
0.2948758974358975,Original,0.9976233338052954
0.30769615384615384,Original,0.997850886951597
0.32051641025641026,Original,0.9978660571613504
0.33333666666666667,Original,0.9981947450393414
0.3461569230769231,Original,0.9983110499807843
0.3589771794871795,Original,0.9984374683953964
0.3717974358974359,Original,0.9984779222880722
0.3846176923076923,Original,0.998518376180748
0.39743794871794874,Original,0.9988925746879993
0.41025820512820516,Original,0.9990493335221181
0.42307846153846157,Original,0.9992010356196525
0.435898717948718,Original,0.9992516029854973
0.4487189743589744,Original,0.9992768866684196
0.4615392307692308,Original,0.999332510770849
0.4743594871794872,Original,0.9993628511903558
0.48717974358974364,Original,0.9993679079269403
0.5,Original,0.9994134185562006
1e-05,MNL,0.0
0.01283025641025641,MNL,0.2058167640931249
0.02565051282051282,MNL,0.49974185359736234
0.03847076923076923,MNL,0.7983911992556483
0.051291025641025646,MNL,0.9075618438884281
0.06411128205128205,MNL,0.9318715993446467
0.07693153846153845,MNL,0.9470885839114869
0.08975179487179487,MNL,0.9575873804081796
0.10257205128205128,MNL,0.9644539230162422
0.1153923076923077,MNL,0.9696497198567935
0.12821256410256412,MNL,0.9736159711968284
0.14103282051282054,MNL,0.9766758025040959
0.15385307692307693,MNL,0.97918621938146
0.16667333333333334,MNL,0.9812804668379215
0.17949358974358975,MNL,0.9830829405934585
0.19231384615384617,MNL,0.9845946519953882
0.20513410256410258,MNL,0.985914460243937
0.217954358974359,MNL,0.9870653734905643
0.2307746153846154,MNL,0.98807343392868
0.24359487179487183,MNL,0.9889621553834018
0.25641512820512824,MNL,0.989799298124962
0.26923538461538465,MNL,0.9905120451465443
0.28205564102564107,MNL,0.9911636056554542
0.2948758974358975,MNL,0.9917514512833996
0.30769615384615384,MNL,0.9923185642913488
0.32051641025641026,MNL,0.992828789012723
0.33333666666666667,MNL,0.9932775743845952
0.3461569230769231,MNL,0.9936811019640365
0.3589771794871795,MNL,0.9940580816764095
0.3717974358974359,MNL,0.9944102833795183
0.3846176923076923,MNL,0.9947414996258015
0.39743794871794874,MNL,0.9951192378486619
0.41025820512820516,MNL,0.9954385707639719
0.42307846153846157,MNL,0.9957128987236796
0.435898717948718,MNL,0.9959551164060759
0.4487189743589744,MNL,0.99618519792067
0.4615392307692308,MNL,0.9963940411416086
0.4743594871794872,MNL,0.9965733024535286
0.48717974358974364,MNL,0.9967487712130099
0.5,MNL,0.996920447420053
1e-05,CART,0.0
0.01283025641025641,CART,0.20638766965351238
0.02565051282051282,CART,0.5003016343372642
0.03847076923076923,CART,0.7981067578227714
0.051291025641025646,CART,0.9061156172252675
0.06411128205128205,CART,0.93012120997593
0.07693153846153845,CART,0.9451910435081616
0.08975179487179487,CART,0.9556041283197475
0.10257205128205128,CART,0.9624701652541516
0.1153923076923077,CART,0.9676839135095776
0.12821256410256412,CART,0.9717204534881368
0.14103282051282054,CART,0.9748538603127086
0.15385307692307693,CART,0.9774216711503063
0.16667333333333334,CART,0.9795705313618802
0.17949358974358975,CART,0.981408402273509
0.19231384615384617,CART,0.9830129047917635
0.20513410256410258,CART,0.984397944942252
0.217954358974359,CART,0.985627743279597
0.2307746153846154,CART,0.9867382026335486
0.24359487179487183,CART,0.987716933999474
0.25641512820512824,CART,0.9886104593539512
0.26923538461538465,CART,0.989420042881126
0.28205564102564107,CART,0.9901512469912419
0.2948758974358975,CART,0.9908275855094155
0.30769615384615384,CART,0.9914268087946763
0.32051641025641026,CART,0.9919916462711622
0.33333666666666667,CART,0.9924988369505856
0.3461569230769231,CART,0.9929974311778151
0.3589771794871795,CART,0.9934575942070026
0.3717974358974359,CART,0.9938517668237624
0.3846176923076923,CART,0.9942381014988166
0.39743794871794874,CART,0.994687898218006
