Type,Metric,value
Train,IMS,0.810478569550355
MNL,IMS,0.14907765124699124
MNL,IMS,0.14777301320819597
MNL,IMS,0.14827868686664375
MNL,IMS,0.14719148850098102
MNL,IMS,0.1494113958615668
MNL,IMS,0.15012945245656265
MNL,IMS,0.14820283581787658
MNL,IMS,0.1475151196423876
MNL,IMS,0.14934565828596857
MNL,IMS,0.1480612471935112
MNL,IMS,0.14832925423248852
MNL,IMS,0.15004854467121098
MNL,IMS,0.14742915512045146
MNL,IMS,0.14856692085195897
MNL,IMS,0.1498209915249095
MNL,IMS,0.1473785877546067
MNL,IMS,0.14932037460304617
MNL,IMS,0.14820789255446104
MNL,IMS,0.1484708428568539
MNL,IMS,0.14925969376403245
CART,IMS,0.14745443880337386
CART,IMS,0.14816238192520076
CART,IMS,0.14951253059325634
CART,IMS,0.1488349278909363
CART,IMS,0.14898662998847065
CART,IMS,0.14863265842755718
CART,IMS,0.14788426141305447
CART,IMS,0.1475606302716479
CART,IMS,0.14809158761301805
CART,IMS,0.14927992071037036
CART,IMS,0.14833936770565748
CART,IMS,0.14827868686664375
CART,IMS,0.14834948117882643
CART,IMS,0.1494265660713202
CART,IMS,0.14841016201784016
CART,IMS,0.14881975768118288
CART,IMS,0.1495226440664253
CART,IMS,0.14798033940815955
CART,IMS,0.14822306276421449
CART,IMS,0.14839499180808674
MOSTLY.AI,IMS,0.29414531038249153
MOSTLY.AI,IMS,0.2943020692166104
MOSTLY.AI,IMS,0.2929468638119703
MOSTLY.AI,IMS,0.2945144521531584
MOSTLY.AI,IMS,0.2931491332753494
MOSTLY.AI,IMS,0.2942616153239345
MOSTLY.AI,IMS,0.29366997714355064
MOSTLY.AI,IMS,0.2951819413823095
MOSTLY.AI,IMS,0.2958494306114606
MOSTLY.AI,IMS,0.2932654382167924
MOSTLY.AI,IMS,0.2917838143975404
MOSTLY.AI,IMS,0.29482291308481157
MOSTLY.AI,IMS,0.29272942413883773
MOSTLY.AI,IMS,0.2930378850704909
MOSTLY.AI,IMS,0.2941351969093226
MOSTLY.AI,IMS,0.29489876413357874
MOSTLY.AI,IMS,0.29355367220210765
MOSTLY.AI,IMS,0.29508080665062
MOSTLY.AI,IMS,0.2942009344849208
MOSTLY.AI,IMS,0.29460041667509457
Train,DCR,0.0
MNL,DCR,0.0047659168035856835
MNL,DCR,0.004816650316361685
MNL,DCR,0.0048513931929662435
MNL,DCR,0.004841329921656341
MNL,DCR,0.004837277708265315
MNL,DCR,0.004812555472921771
MNL,DCR,0.004812870529943407
MNL,DCR,0.004872473443605189
MNL,DCR,0.0048062309250336745
MNL,DCR,0.00486281842075708
MNL,DCR,0.0048513749416110976
MNL,DCR,0.00478668619295171
MNL,DCR,0.004819739835865372
MNL,DCR,0.004866308266498291
MNL,DCR,0.004846935813564292
MNL,DCR,0.0048878068260780295
MNL,DCR,0.004790061022818733
MNL,DCR,0.0048124527914468595
MNL,DCR,0.004818055156159972
MNL,DCR,0.004777257180824792
CART,DCR,0.004763864411674834
CART,DCR,0.00474358114215314
CART,DCR,0.004718444639211761
CART,DCR,0.004747234157778012
CART,DCR,0.004704885855353399
CART,DCR,0.0047262377379688565
CART,DCR,0.004736237562104556
CART,DCR,0.004801456264551897
CART,DCR,0.0047412703674941
CART,DCR,0.004735525349457955
CART,DCR,0.00470484717317221
CART,DCR,0.004755639949627129
CART,DCR,0.0047803516109824465
CART,DCR,0.004707033280889862
CART,DCR,0.004744706078606116
CART,DCR,0.004739125493175433
CART,DCR,0.004740144272481421
CART,DCR,0.004738113653020654
CART,DCR,0.004738698913757279
CART,DCR,0.004749760668160576
MOSTLY.AI,DCR,0.0020565008539758043
MOSTLY.AI,DCR,0.0020852924501845852
MOSTLY.AI,DCR,0.0020803939388124065
MOSTLY.AI,DCR,0.0020719286539146913
MOSTLY.AI,DCR,0.002086409510572066
MOSTLY.AI,DCR,0.0020518264163879515
MOSTLY.AI,DCR,0.002108213024575507
MOSTLY.AI,DCR,0.002072183067583613
MOSTLY.AI,DCR,0.0020708141825670733
