Delta,Type,value
0.001,MNL,7.219110617839261
0.25075,MNL,61.36482456140351
0.5005,MNL,60.72685855263158
0.75025,MNL,60.72685855263158
1.0,MNL,61.0646052631579
0.001,AD-MNL,2.3330415388918953
0.25075,AD-MNL,8.14797690996911
0.5005,AD-MNL,7.080813928597555
0.75025,AD-MNL,6.901434544460367
1.0,AD-MNL,6.752010693591307
0.001,CART,32.03108484616802
0.25075,CART,60.41913377192982
0.5005,CART,51.692567054655875
0.75025,CART,47.10990141802642
1.0,CART,42.765023111939236
0.001,AD-CART,5.011348004062751
0.25075,AD-CART,9.871063249537103
0.5005,AD-CART,9.739910355472079
0.75025,AD-CART,9.677580293111555
1.0,AD-CART,9.642725357459124
0.001,MOSTLY.AI,25.82809128908583
0.25075,MOSTLY.AI,59.24161658388458
0.5005,MOSTLY.AI,53.5644588726332
0.75025,MOSTLY.AI,51.43484259810536
1.0,MOSTLY.AI,48.611104927478195
