Data Type,Measure,Variable,value
MNL,L1 Distance,Intercept,1.5966753530110935
MNL,L1 Distance,Intercept,1.3256788746797472
MNL,L1 Distance,Intercept,1.1819966007928242
MNL,L1 Distance,Intercept,1.3099396508710868
MNL,L1 Distance,Intercept,0.7822884273225315
MNL,L1 Distance,Intercept,1.283937356221366
MNL,L1 Distance,Intercept,1.1896300872529428
MNL,L1 Distance,Intercept,1.595938091612764
MNL,L1 Distance,Intercept,0.8395935180428662
MNL,L1 Distance,Intercept,0.12642531217556296
MNL,L1 Distance,Intercept,1.226972285730433
MNL,L1 Distance,Intercept,1.563346351010515
MNL,L1 Distance,Intercept,0.9425046823766969
MNL,L1 Distance,Intercept,0.5251124337986015
MNL,L1 Distance,Intercept,1.0372814989362595
MNL,L1 Distance,Intercept,0.5967663320009713
MNL,L1 Distance,Intercept,0.9914262672731669
MNL,L1 Distance,Intercept,0.7029230490659826
MNL,L1 Distance,Intercept,0.8598646509889738
MNL,L1 Distance,Intercept,0.13083516608309242
MNL,CI Ratio,Intercept,0.6171130950642338
MNL,CI Ratio,Intercept,0.720253692145684
MNL,CI Ratio,Intercept,0.7314984891797889
MNL,CI Ratio,Intercept,0.7138032292485517
MNL,CI Ratio,Intercept,0.8093554922120649
MNL,CI Ratio,Intercept,0.7663158615767073
MNL,CI Ratio,Intercept,0.6959420832811047
MNL,CI Ratio,Intercept,0.6578319550098967
MNL,CI Ratio,Intercept,0.7934783062754597
MNL,CI Ratio,Intercept,0.9834782277513366
MNL,CI Ratio,Intercept,0.7252713297994662
MNL,CI Ratio,Intercept,0.6336786411380139
MNL,CI Ratio,Intercept,0.8223373021582819
MNL,CI Ratio,Intercept,0.86597335782368
MNL,CI Ratio,Intercept,0.7530804185623448
MNL,CI Ratio,Intercept,0.8455532774116665
MNL,CI Ratio,Intercept,0.7581464115681547
MNL,CI Ratio,Intercept,0.8435248778320408
MNL,CI Ratio,Intercept,0.7250700447063336
MNL,CI Ratio,Intercept,1.0352671260954955
MNL,Sign Match,Intercept,1.0
MNL,Sign Match,Intercept,1.0
MNL,Sign Match,Intercept,1.0
MNL,Sign Match,Intercept,1.0
MNL,Sign Match,Intercept,1.0
MNL,Sign Match,Intercept,1.0
MNL,Sign Match,Intercept,1.0
MNL,Sign Match,Intercept,1.0
MNL,Sign Match,Intercept,1.0
MNL,Sign Match,Intercept,1.0
MNL,Sign Match,Intercept,1.0
MNL,Sign Match,Intercept,1.0
MNL,Sign Match,Intercept,1.0
MNL,Sign Match,Intercept,1.0
MNL,Sign Match,Intercept,1.0
MNL,Sign Match,Intercept,1.0
MNL,Sign Match,Intercept,1.0
MNL,Sign Match,Intercept,1.0
MNL,Sign Match,Intercept,1.0
MNL,Sign Match,Intercept,1.0
MNL,Significance Match,Intercept,1.0
MNL,Significance Match,Intercept,1.0
MNL,Significance Match,Intercept,1.0
MNL,Significance Match,Intercept,1.0
MNL,Significance Match,Intercept,1.0
MNL,Significance Match,Intercept,1.0
MNL,Significance Match,Intercept,1.0
MNL,Significance Match,Intercept,1.0
MNL,Significance Match,Intercept,1.0
MNL,Significance Match,Intercept,1.0
MNL,Significance Match,Intercept,1.0
MNL,Significance Match,Intercept,1.0
MNL,Significance Match,Intercept,1.0
MNL,Significance Match,Intercept,1.0
MNL,Significance Match,Intercept,1.0
MNL,Significance Match,Intercept,1.0
MNL,Significance Match,Intercept,1.0
MNL,Significance Match,Intercept,1.0
MNL,Significance Match,Intercept,1.0
MNL,Significance Match,Intercept,1.0
MNL,CI Overlap,Intercept,0.0
MNL,CI Overlap,Intercept,1.0
MNL,CI Overlap,Intercept,1.0
MNL,CI Overlap,Intercept,1.0
MNL,CI Overlap,Intercept,1.0
MNL,CI Overlap,Intercept,1.0
MNL,CI Overlap,Intercept,1.0
MNL,CI Overlap,Intercept,0.0
MNL,CI Overlap,Intercept,1.0
MNL,CI Overlap,Intercept,1.0
MNL,CI Overlap,Intercept,1.0
MNL,CI Overlap,Intercept,0.0
MNL,CI Overlap,Intercept,1.0
MNL,CI Overlap,Intercept,1.0
MNL,CI Overlap,Intercept,1.0
MNL,CI Overlap,Intercept,1.0
MNL,CI Overlap,Intercept,1.0
MNL,CI Overlap,Intercept,1.0
MNL,CI Overlap,Intercept,1.0
MNL,CI Overlap,Intercept,1.0
AD - MNL,L1 Distance,Intercept,1.8598272900484876
AD - MNL,L1 Distance,Intercept,1.4171386972433764
AD - MNL,L1 Distance,Intercept,1.3284605701279393
AD - MNL,L1 Distance,Intercept,1.4329267714860379
AD - MNL,L1 Distance,Intercept,0.9390834316101104
AD - MNL,L1 Distance,Intercept,1.3344410635374198
AD - MNL,L1 Distance,Intercept,1.3335624133855504
AD - MNL,L1 Distance,Intercept,1.6144645184908981
AD - MNL,L1 Distance,Intercept,1.015690091667703
AD - MNL,L1 Distance,Intercept,0.33813870544469093
AD - MNL,L1 Distance,Intercept,1.4722145928423398
AD - MNL,L1 Distance,Intercept,1.6447610324510116
AD - MNL,L1 Distance,Intercept,1.0097969985090813
AD - MNL,L1 Distance,Intercept,0.6890762664446015
AD - MNL,L1 Distance,Intercept,1.2008197622766623
AD - MNL,L1 Distance,Intercept,1.1026622246061146
AD - MNL,L1 Distance,Intercept,1.1032155087173505
AD - MNL,L1 Distance,Intercept,0.9687449753833546
AD - MNL,L1 Distance,Intercept,1.1203897408852077
AD - MNL,L1 Distance,Intercept,0.2354431485735633
AD - MNL,CI Ratio,Intercept,0.5871615283277853
AD - MNL,CI Ratio,Intercept,0.7070177056053879
AD - MNL,CI Ratio,Intercept,0.7172703606010699
AD - MNL,CI Ratio,Intercept,0.7034825012697632
