Dataset,Type,value
1,MNL,1.1406579590243742
2,MNL,1.1900180549506534
3,MNL,1.182273834113441
4,MNL,0.7813098208170184
5,MNL,1.111653663318558
6,MNL,1.547528473478294
7,MNL,1.1116263791783367
8,MNL,1.1321262533201804
9,MNL,1.0745936212393736
10,MNL,0.9953392382464441
11,MNL,0.6682723578442714
12,MNL,1.220415500844009
13,MNL,0.8249105725535006
14,MNL,0.9855675375801052
15,MNL,0.8671156298276749
16,MNL,1.4149874287483373
17,MNL,1.228026524428671
18,MNL,0.7192400592704429
19,MNL,1.0234279214885686
20,MNL,1.1853964183464012
1,AD-MNL,5.192891718564726
2,AD-MNL,3.1699190575188343
3,AD-MNL,3.5280580366439342
4,AD-MNL,3.7784678141821924
5,AD-MNL,2.2048281768730362
6,AD-MNL,1.9372376611222208
7,AD-MNL,3.0711793147242696
8,AD-MNL,2.2555779935432128
9,AD-MNL,2.559923024299604
10,AD-MNL,2.642191068106522
11,AD-MNL,6.743891524428438
12,AD-MNL,2.5722608819300756
13,AD-MNL,1.7731437403604875
14,AD-MNL,5.055041536870135
15,AD-MNL,3.2013312552062754
16,AD-MNL,8.592259978680403
17,AD-MNL,2.623176788019705
18,AD-MNL,5.703333094705508
19,AD-MNL,5.01704965902226
20,AD-MNL,2.581345014308235
1,CART,1.237352301450022
2,CART,1.011916808849665
3,CART,1.0697057419145108
4,CART,1.0996378838387735
5,CART,0.9396367770173976
6,CART,1.1031505065247653
7,CART,1.0915081125485295
8,CART,1.0709324449734998
9,CART,1.1178078651022378
10,CART,0.9492150604078798
11,CART,0.7208400242732556
12,CART,1.105596177610599
13,CART,1.1871506869373745
14,CART,0.9587874616582927
15,CART,1.046551747801562
16,CART,0.8792524654269237
17,CART,0.8333228872597943
18,CART,0.9199252032256728
19,CART,0.632488447707529
20,CART,1.2814001600228104
1,AD-CART,2.079469509254344
2,AD-CART,7.028895270038955
3,AD-CART,5.545219823852947
4,AD-CART,2.0193506671071364
5,AD-CART,7.07896665967574
6,AD-CART,7.3810464557811954
7,AD-CART,6.204943689355891
8,AD-CART,5.991688575104627
9,AD-CART,3.0179620019979265
10,AD-CART,9.226082808250293
11,AD-CART,6.095524924590204
12,AD-CART,5.543865808808181
13,AD-CART,6.289331201191252
14,AD-CART,9.575541024849764
15,AD-CART,4.154040565731589
16,AD-CART,7.215950588042912
17,AD-CART,15.521792359099418
18,AD-CART,6.252105770982903
19,AD-CART,9.891643934113496
20,AD-CART,2.5679835571446303
1,MOSTLY.AI,1.3586842148604843
2,MOSTLY.AI,1.310138612149979
3,MOSTLY.AI,1.3493832628878428
4,MOSTLY.AI,1.5103141112178586
5,MOSTLY.AI,1.4641257862125436
6,MOSTLY.AI,1.4101377980284757
7,MOSTLY.AI,1.370408752619989
8,MOSTLY.AI,1.331870981179691
9,MOSTLY.AI,2.143084336684943
10,MOSTLY.AI,1.3277114236144927
11,MOSTLY.AI,1.085354566412987
12,MOSTLY.AI,1.1598169668123048
13,MOSTLY.AI,1.5423059654892466
14,MOSTLY.AI,1.4234730306950045
15,MOSTLY.AI,1.2661942839678768
16,MOSTLY.AI,1.5686980267122783
17,MOSTLY.AI,1.3740919479439313
18,MOSTLY.AI,1.3276813238745708
19,MOSTLY.AI,1.4686136155380214
20,MOSTLY.AI,1.3656017584283997
