Type,Metric,value
Train,IMS,0.6530095351609059
MNL,IMS,0.035160905840286055
MNL,IMS,0.033820023837902266
MNL,IMS,0.03471394517282479
MNL,IMS,0.037246722288438616
MNL,IMS,0.03679976162097735
MNL,IMS,0.033820023837902266
MNL,IMS,0.03560786650774732
MNL,IMS,0.0350119189511323
MNL,IMS,0.03486293206197855
MNL,IMS,0.036501787842669844
MNL,IMS,0.03456495828367104
MNL,IMS,0.02994636471990465
MNL,IMS,0.033075089392133494
MNL,IMS,0.033820023837902266
MNL,IMS,0.0350119189511323
MNL,IMS,0.033820023837902266
MNL,IMS,0.03709773539928486
MNL,IMS,0.033373063170441
MNL,IMS,0.03575685339690107
MNL,IMS,0.036501787842669844
AD-MNL,IMS,0.03384952720296012
AD-MNL,IMS,0.032577903682719546
AD-MNL,IMS,0.03339854667411962
AD-MNL,IMS,0.03686054660126139
AD-MNL,IMS,0.03478383326292071
AD-MNL,IMS,0.03246013667425968
AD-MNL,IMS,0.03374233128834356
AD-MNL,IMS,0.0345309660282399
AD-MNL,IMS,0.03288092906114454
AD-MNL,IMS,0.03431919642857143
AD-MNL,IMS,0.03313295120928282
AD-MNL,IMS,0.028619765966445793
AD-MNL,IMS,0.031454418928322896
AD-MNL,IMS,0.03197913807301674
AD-MNL,IMS,0.033408833522083806
AD-MNL,IMS,0.03259637188208617
AD-MNL,IMS,0.035532276330690823
AD-MNL,IMS,0.03171719994411066
AD-MNL,IMS,0.03420608108108108
AD-MNL,IMS,0.03545596369309318
CART,IMS,0.050804529201430276
CART,IMS,0.048569725864123954
CART,IMS,0.051102502979737785
CART,IMS,0.051102502979737785
CART,IMS,0.04991060786650775
CART,IMS,0.05289034564958284
CART,IMS,0.05229439809296782
CART,IMS,0.047526817640047674
CART,IMS,0.05020858164481526
CART,IMS,0.04797377830750894
CART,IMS,0.04782479141835518
CART,IMS,0.04395113230035757
CART,IMS,0.04767580452920143
CART,IMS,0.049761620977353996
CART,IMS,0.051400476758045294
CART,IMS,0.04916567342073898
CART,IMS,0.05095351609058403
CART,IMS,0.04410011918951132
CART,IMS,0.04871871275327771
CART,IMS,0.051102502979737785
AD-CART,IMS,0.050503554502369666
AD-CART,IMS,0.04741879350348028
AD-CART,IMS,0.05024168741760656
AD-CART,IMS,0.05052136877661918
AD-CART,IMS,0.04917313039660471
AD-CART,IMS,0.05156885531667635
AD-CART,IMS,0.05158264947245018
AD-CART,IMS,0.046521802537552864
AD-CART,IMS,0.04963912210929445
AD-CART,IMS,0.04671405773973596
AD-CART,IMS,0.046931934120390616
AD-CART,IMS,0.04279704047584506
AD-CART,IMS,0.047814608389557055
AD-CART,IMS,0.048876568427195795
AD-CART,IMS,0.051481372836608974
AD-CART,IMS,0.047937245787332945
AD-CART,IMS,0.04982568274259152
AD-CART,IMS,0.04330651060716898
AD-CART,IMS,0.047639860139860137
AD-CART,IMS,0.050515463917525774
MOSTLY.AI,IMS,0.052145411203814065
MOSTLY.AI,IMS,0.05303933253873659
MOSTLY.AI,IMS,0.055870083432657924
MOSTLY.AI,IMS,0.05259237187127533
MOSTLY.AI,IMS,0.057210965435041714
MOSTLY.AI,IMS,0.057210965435041714
MOSTLY.AI,IMS,0.05706197854588796
MOSTLY.AI,IMS,0.06004171632896305
MOSTLY.AI,IMS,0.054529201430274135
MOSTLY.AI,IMS,0.05884982121573302
MOSTLY.AI,IMS,0.05959475566150179
MOSTLY.AI,IMS,0.05780691299165673
MOSTLY.AI,IMS,0.05765792610250298
MOSTLY.AI,IMS,0.05676400476758045
MOSTLY.AI,IMS,0.05467818831942789
MOSTLY.AI,IMS,0.05199642431466031
MOSTLY.AI,IMS,0.06242550655542312
MOSTLY.AI,IMS,0.05646603098927294
MOSTLY.AI,IMS,0.057210965435041714
MOSTLY.AI,IMS,0.05899880810488677
Train,DCR,0.0
MNL,DCR,0.0012259607760737956
MNL,DCR,0.0012892549084734483
MNL,DCR,0.0012398590791878308
